Time,Roll,RollRate,Pitch,PitchRate,Yaw,YawRate,Aileron,Elevator,Rudder
4.48,-0.006736918887935249,-0.007776020046429112,0.002029181791565235,0.021468390974102924,-0.014759631251109339,0.025566438928198224,0.062157750592784534,0.7325869576446977,-0.3036626847271823
4.49,-0.007075290299811778,-0.009567323806834267,0.001522434720569382,0.022182679350291598,-0.01505324709895797,0.02700862821132407,-0.07226116144423382,0.13258695764469774,-0.017120265290892923
4.5,-0.007489088804668104,-0.004475678393340851,0.0008476438768858948,0.03253130856165621,-0.0157217357949722,0.030067583469345516,0.5277388385557661,0.7325869576446977,0.4505121911074544
4.51,-0.008222784511781624,-0.00263086255249478,0.0036227489376271355,0.03510923391032416,-0.015309365960133584,0.031011625062006443,0.2636563061579493,0.3473843613416841,-0.14948780889254554
4.5200000000000005,-0.007064806301398449,-0.0038795710948018626,0.0038406051431588385,0.038642598481917756,-0.015884937297419667,0.03284266181556362,-0.20500741901037095,0.2415962815991433,0.29754414027397746
4.53,-0.008265394167389651,-0.003726978125406383,0.0018835418344050263,0.043445241123347356,-0.016240184592230335,0.0318286601602461,-0.07281286576233784,0.4003105014602484,-0.02443418594989732
4.54,-0.00732091276102712,-0.0016424612728543357,0.0015822372553232998,0.04110521444490313,-0.018017279448093674,0.031296381284268225,0.0647810200651001,-0.13665532483682633,-0.2582647956907482
4.55,-0.008509863946413848,-0.00418523516349573,0.004685305152274688,0.030601422913393527,-0.018296828837474046,0.0347202934510516,-0.18543429351143884,-0.7366553248368263,0.34173520430925175
4.5600000000000005,-0.007938148065549374,-0.006201216897783965,0.004893534851117596,0.022288072681709254,-0.01984279537528415,0.0346944476693193,-0.39086138065114046,-0.5996989344778373,0.20820977376575478
4.57,-0.009166673598547578,-0.007377239909906989,0.004630020939492976,0.02252388539752096,-0.020669951894553427,0.0340081855802422,0.20913861934885947,0.0003010655221626409,-0.06780322989667206
4.58,-0.007487926177763099,-0.01070553433751479,0.003612506994878201,0.021971654594691095,-0.01996678978999825,0.032949688491058685,-0.39086138065114046,0.05181625543221341,0.07008025103061409
4.59,-0.007048609868182544,-0.007771740823691621,0.004619548479632809,0.015071402115063252,-0.02066514589022686,0.03033248632056258,0.20913861934885947,-0.5481837445677865,-0.1909315403002677
4.6000000000000005,-0.006515477562527302,-0.006680444829353289,0.007328407102658824,0.014514786588507321,-0.021405878522390835,0.026630548633963566,0.10550060194511718,0.051816255432213396,-0.2662022680422029
4.61,-0.006383606508779478,-0.002696763300200431,0.008141265990548496,0.01279337387526721,-0.018622717484648266,0.026576103604856068,0.28208740241977087,-0.18848421513456634,0.06185594563399014
4.62,-0.008897811473028684,0.0009867952739583134,0.007870059094665345,0.008678063996593335,-0.01804299221351834,0.023998670176162813,0.30542936799593173,-0.37403908162240146,-0.2107877742102794
4.63,-0.008975262710131004,0.00346354069025368,0.007189070676851829,0.0013348260479547258,-0.015387190634922387,0.02451048864812209,0.26678003073138257,-0.4236154630164248,0.22966783952086484
4.64,-0.010367549491546212,0.004274389841335009,0.007276613110677549,0.0033934422753131746,-0.016814567595499288,0.027168754625016178,0.2518507267876237,0.0842861361375591,0.19536935992574578
4.65,-0.011251601651930076,0.008354381857290163,0.007103542343168239,0.006868290292184296,-0.015136274286217688,0.02429998460320614,0.579468507090199,0.41899871605133954,-0.386152253766359
4.66,-0.010781263622629395,0.008751727349088492,0.0072040432858958324,0.0038902542357730076,-0.016929136145779178,0.024534403785279015,-0.020531492909800907,-0.1810012839486604,0.21384774623364095
4.67,-0.011412709281501421,0.015081870722538172,0.007575502022873858,0.005959605556613478,-0.014825323037746965,0.02727076177083709,0.45072864134275625,0.013651236744168155,0.34548888451624976
4.68,-0.01013885610637834,0.013538745233368791,0.006966959783265805,0.0059572854631457445,-0.013837882829970978,0.02732007553395422,-0.11195113368901483,0.1042472028269278,0.09914385608880907
4.69,-0.00985854324799297,0.009112586008915983,0.009032367213599755,0.001144731536285224,-0.01298486316094281,0.026726544517794708,-0.5436549514672314,-0.24435572868287872,-0.09495938936419135
4.7,-0.012049515577370138,0.006494364698599805,0.00901186830411997,0.004226331393472368,-0.014598103002959398,0.028001550359601935,-0.31193091680675666,0.35564427131712123,0.04321819772759844
4.71,-0.010319293586590048,0.005442811332939459,0.008435619871583708,0.004053812556099676,-0.012831724281159716,0.03041322250084894,-0.1578133832852582,-0.19613792680576508,0.33986178226783054
4.72,-0.01104802376502924,0.009675055598963658,0.009174750118906139,0.008042066904802008,-0.01148756276793559,0.030367555979940553,0.3508431176244708,0.3697794924387138,-0.03714271152327249
4.73,-0.011602848686928163,0.009492771087776707,0.009242555942561004,0.009315164967780953,-0.011327092022537844,0.03237700997849074,-0.24915688237552913,0.12013562198827546,0.20262691074042932
4.74,-0.012701559947853953,0.009223924739824769,0.008950733197967431,0.009830157123243222,-0.010084039460436565,0.036299855260324115,-0.015369566987112279,0.0856082888376135,0.2245824714215141
4.75,-0.012156021578792964,0.005230181566876926,0.008345135748623425,0.002566448796267891,-0.010096921996326277,0.03921667245667581,-0.16761556349494414,-0.5143917111623865,0.12208873773717001
4.76,-0.011701932839250417,0.008045447123186984,0.008180878045639004,-0.004450273907637107,-0.011519866455204962,0.03790441430188299,0.30201423324933413,-0.40818332014807,-0.08115627390962156
4.7700000000000005,-0.011074527615968685,0.012015343626306858,0.011021170018527322,-0.013082804870199787,-0.011250485329741709,0.036181127602433735,0.21619085933978374,-0.744705083118099,-0.27633397975930896
4.78,-0.012530924775444192,0.014694974062412847,0.009054804941734055,-0.02862941659037233,-0.009409179742729408,0.0387027857541457,0.2690277630887896,-1.222301363094392,0.14272670712282257
4.79,-0.01256961646235536,0.010442904412488394,0.008323854220408272,-0.03736645987550961,-0.009227803249364598,0.03833912704169471,-0.1869495059865048,-0.622301363094392,-0.0752728724022569
